Unnamed: 0,qid,video_id,question_type,capability,question,duration,question_prompt,answer,youtube_url,steps
0,0008-0,sj81PWrerDk,Primary Open-ended Question,Plot Attribute (Montage),What is the difference between the action of the last person in the video and the actions of the first two people?,8.85,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/sj81PWrerDk,"1. Identify the last person in the video.
2. Observe and note the actions of the last person.
3. Identify the first two people in the video.
4. Observe and note the actions of the first two people.
5. Compare the actions of the last person with the actions of the first two people.
6. Determine the key differences in their actions.
7. Formulate a brief explanation of the differences observed.
8. Write down the answer clearly, including the differences and the explanation."
1,0008-1,sj81PWrerDk,Paraphrased Open-ended Question,Plot Attribute (Montage),Can you describe how the actions of the last person in the video differ from other individuals?,8.85,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/sj81PWrerDk,"1. Identify the last person in the video.
2. Observe the actions of the last person.
3. Note the actions of other individuals in the video.
4. Compare the actions of the last person to those of the other individuals.
5. Highlight any unique or different actions performed by the last person.
6. Summarize the differences in a brief explanation."
2,0008-2,sj81PWrerDk,Correctly-led Open-ended Question,Plot Attribute (Montage),Did the last person open the bottle without using a knife?,8.85,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/sj81PWrerDk,"1. Identify the last person who interacted with the bottle in the video.
2. Observe the actions of the last person regarding the bottle.
3. Look for any tools or objects that the last person used during the interaction with the bottle.
4. Determine if a knife was used at any point in the process of opening the bottle.
5. Analyze the method used to open the bottle (e.g., twisting, pulling, using another object).
6. Conclude whether the bottle was opened without the use of a knife.
7. Formulate a brief explanation based on the observations made in the previous steps."
3,0008-3,sj81PWrerDk,Wrongly-led Open-ended Question,Plot Attribute (Montage),Did the last person in the video open the bottle with a knife while the first two people failed in their attempts?,8.85,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/sj81PWrerDk,"1. Identify the last person in the video.
2. Observe the actions of the last person regarding the bottle.
3. Determine if the last person used a knife to open the bottle.
4. Identify the first two people in the video.
5. Observe the actions of the first two people regarding the bottle.
6. Determine if the first two people attempted to open the bottle and if they failed.
7. Compare the actions of the last person with those of the first two people.
8. Formulate a conclusion based on the observations.
9. Provide a brief explanation supporting the conclusion."
4,0008-7,sj81PWrerDk,Multiple-choice Question with a Single Correct Answer,Plot Attribute (Montage),"How does the last person in the video open the bottle differently from the first two people?
A. He uses a different type of knife.
B. He uses a corkscrew.
C. He uses a bottle opener.
D. He uses his finger.",8.85,"E. None of the above
Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",,https://www.youtube.com/shorts/sj81PWrerDk,"1. Identify the first two people in the video and observe how they open the bottle.
2. Take note of the tools or methods used by the first two people to open the bottle.
3. Focus on the last person in the video and observe how they open the bottle.
4. Compare the method used by the last person with the methods used by the first two people.
5. Determine if the last person's method is different from the first two.
6. Review the options provided (A, B, C, D, E) to see which one matches the last person's method.
7. Select the letter corresponding to the correct option based on the comparison."
5,0012-0,AGCyLqLuUJ0,Primary Open-ended Question,Element Counting,How many robot figures appear in the video?,20.67,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/AGCyLqLuUJ0,"1. **Prepare to Watch the Video**: Ensure you have a clear view of the video and are ready to focus on the content.

2. **Observe the Video**: Start playing the video and pay attention to the visuals.

3. **Identify Robot Figures**: Look for any figures that resemble robots. This may include humanoid robots, robotic animals, or any mechanical figures.

4. **Count the Robot Figures**: As you identify each robot figure, keep a tally or count them mentally to avoid losing track.

5. **Verify Your Count**: Rewind or pause the video if necessary to double-check your count of the robot figures.

6. **Summarize Your Findings**: Once you have the final count, think about how you arrived at that number.

7. **Formulate Your Answer**: Prepare a brief explanation that includes the total number of robot figures and any relevant details about their appearance or context in the video.

8. **Conclude**: State your answer clearly, including the count and your brief explanation."
6,0012-1,AGCyLqLuUJ0,Paraphrased Open-ended Question,Element Counting,What is the total number of robot figures shown in the video?,20.67,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/AGCyLqLuUJ0,"1. **Identify the Video Content**: Determine the main focus of the video to understand what type of robot figures are being shown.

2. **Observe the Visuals**: Look closely at the video to identify all instances of robot figures. 

3. **Count the Robot Figures**: As you observe, keep a tally of each robot figure you see. 

4. **Check for Duplicates**: Ensure that you are not counting the same robot figure multiple times if they appear in different scenes.

5. **Summarize the Count**: Once you have finished counting, summarize the total number of unique robot figures observed.

6. **Provide Explanation**: Briefly explain how you arrived at the total count, mentioning any specific scenes or characteristics that helped in identifying the figures. 

7. **State the Final Answer**: Clearly state the total number of robot figures counted in the video."
7,0012-2,AGCyLqLuUJ0,Correctly-led Open-ended Question,Element Counting,Does the video display four robot figures in total?,20.67,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/AGCyLqLuUJ0,"1. **Identify the Video Content**: Start by watching the video carefully to understand what is being presented.

2. **Look for Robot Figures**: Focus on identifying any figures that resemble robots throughout the video.

3. **Count the Robot Figures**: As you identify each robot figure, keep a tally to ensure an accurate count.

4. **Verify the Count**: After counting, double-check to confirm that you have not missed any robot figures or miscounted.

5. **Summarize Findings**: Based on your count, determine if the total number of robot figures is four.

6. **Formulate Your Answer**: Prepare a brief explanation that states whether the total is four and provide reasoning based on your count."
8,0012-3,AGCyLqLuUJ0,Wrongly-led Open-ended Question,Element Counting,Are there only two robot figures shown in the video?,20.67,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/AGCyLqLuUJ0,"1. **Identify the Subject**: Focus on the robot figures presented in the video.

2. **Count the Robot Figures**: Observe the video carefully to determine the total number of robot figures displayed.

3. **Differentiate Between Figures**: Ensure that you distinguish between different robot figures, noting if any are duplicates or variations.

4. **Confirm the Count**: Verify your count by reviewing the video again if necessary to ensure accuracy.

5. **Formulate Your Answer**: Decide if the total number of unique robot figures is two or not.

6. **Provide Explanation**: Prepare a brief explanation that supports your answer, mentioning the specific details observed in the video that led to your conclusion."
9,0012-7,AGCyLqLuUJ0,Multiple-choice Question with a Single Correct Answer,Element Counting,"How many robot figures are shown in the video?
A. Two
B. Three
C. Four
D. Five",20.67,"E. None of the above
Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",,https://www.youtube.com/shorts/AGCyLqLuUJ0,"1. Start the video and focus on the content being displayed.
2. Look for any robot figures present in the video.
3. Count the number of distinct robot figures shown.
4. Compare the counted number of robot figures to the options provided (A, B, C, D, E).
5. Determine which option corresponds to the counted number of robot figures.
6. Select the letter of the correct option based on the count."
