video_name,answer,question,question_breakdown
v_LvaU_4xbxb0,One of the girls is wearing a black vest and the other is wearing a grey t-shirt while boxing in the well-lit gym.,Can you describe the attire of the two girls boxing in the gym?,"1. Identify the two girls boxing in the gym.
2. Observe and analyze the attire of each girl separately.
3. Note the color, style, and type of clothing each girl is wearing (e.g., shorts, tank tops, gloves).
4. Look for any additional accessories or protective gear (e.g., headgear, mouthguards).
5. Compare and contrast the attire of the two girls.
6. Summarize the findings about their attire in a descriptive manner."
v_l_0HvMt2tGg,"The video features the boy playing lacrosse, wearing a red and white jersey, and using a lacrosse stick.",What sport is being played in the video?,
v_ZVjLscGMOs8,The women are wearing white vests and track pants while working out on aerobics steps in a dimly lit studio with black floor.,Can you describe the clothing worn by the women while working out in the video?,"1. Identify the women in the video.
2. Observe the type of workout being performed.
3. Analyze the clothing items worn by the women.
4. Note the colors and patterns of the clothing.
5. Describe the fit and style of the clothing (e.g., tight, loose, athletic).
6. Look for any accessories or additional items (e.g., shoes, headbands).
7. Summarize the overall appearance of the clothing in relation to the workout context."
v_Ws12Dt0Ny5Q,"The female athlete in the stadium is wearing a red crop top, red bikini bottoms, and red sports shoes.",Can you describe what the female athlete is wearing in the stadium?,"1. Identify the female athlete in the stadium.
2. Observe the overall outfit of the female athlete.
3. Note the type of clothing (e.g., top, bottom, dress, etc.).
4. Describe the colors of the clothing items.
5. Look for any logos or branding on the clothing.
6. Observe any accessories the athlete may be wearing (e.g., headbands, wristbands, jewelry).
7. Check the footwear and describe the type and color of shoes.
8. Consider any additional gear or equipment the athlete may have (e.g., bags, water bottles).
9. Summarize the overall appearance and style of the athlete's outfit."
v_9eniCub7u60,"Yes, there is a door visible on the back right side of the room and a few photo frames hanging on the wall.",Is there a visible door and photo frames on the back wall?,"1. Identify the back wall in the visual scene.
2. Check for the presence of a door on the back wall.
   - Determine if the door is visible and distinguishable.
3. Look for photo frames on the back wall.
   - Count the number of photo frames present.
   - Assess the visibility and clarity of the photo frames.
4. Confirm the findings regarding the door and photo frames."
v_15yU0R2MBQM,The toothbrush featured in the video is blue.,What color is the toothbrush in the video?,"1. Identify the video that is being referenced.
2. Locate the toothbrush within the video.
3. Observe the toothbrush closely to determine its color.
4. Describe the color of the toothbrush based on the observation."
v_-IMXSEIabMM,The people in the beginning of the video are wearing winter clothes and shoveling snow around a car parked in front of a garage in the daytime.,What are the people in the beginning of the video doing?,"1. Identify the beginning segment of the video.
2. Observe the actions of the people present in that segment.
3. Note the context or setting in which these actions are taking place.
4. Describe the specific activities or behaviors exhibited by the people.
5. Consider any interactions between the people and their environment or each other.
6. Summarize the overall scene and the main focus of the people's actions."
v_325CAs4hhq8,The players in orange uniforms are playing field hockey.,Can you describe the game played by the players in orange uniforms on the field?,"1. Identify the players wearing orange uniforms on the field.
2. Determine the type of field they are on (e.g., grass, turf).
3. Observe the overall setting and context of the game (e.g., stadium, outdoor, indoor).
4. Analyze the actions and movements of the players to understand the nature of the game.
5. Look for any equipment or objects being used in the game (e.g., balls, nets).
6. Note the number of players on each team and their positions.
7. Identify any specific rules or objectives that can be inferred from the players' actions.
8. Describe the overall atmosphere and energy of the game (e.g., competitive, casual).
9. Summarize the key elements that define the game being played."
v_Nvf-BZNEGdI,"The people around the boy are standing and wearing roller skates, and the skating rink has a well-lit polished wood floor.",What are the people around the boy doing?,"1. Identify the boy in the visual scene.
2. Observe the area surrounding the boy.
3. Locate the people around the boy.
4. Analyze the actions or activities of each person identified.
5. Note any interactions between the people and the boy.
6. Summarize the various activities or behaviors of the people around the boy."
v_dO01vfB9z4g,"The boy is scrubbing dishes in the kitchen sink while standing on a box, and a woman records him with her phone.",Can you describe the scene in the video where the boy is present?,"1. Identify the video being referenced.
2. Locate the specific scene in the video where the boy is present.
3. Observe the setting and background of the scene.
4. Analyze the boy's appearance, including clothing, expressions, and actions.
5. Note any interactions the boy has with other characters or elements in the scene.
6. Describe the overall mood or atmosphere of the scene.
7. Summarize the key visual elements that contribute to the scene's context."
